rank,frequency,lemma,indonesia,lemma_length,kanji_ratio,cluster,kanji_category
8270,5.56,次郎,Jiro.,2,1.0,2,Kanji
8271,5.56,募る,Ini akan tumbuh.,2,0.5,2,Kanji
8272,5.56,如何に,Aku tidak tahu.,3,0.6666666666666666,2,Kanji
8273,5.55,混合,Campur,2,1.0,2,Kanji
8274,5.55,愛媛,Kekasih,2,1.0,2,Kanji
8275,5.55,何者,Siapa kau?,2,1.0,2,Kanji
8276,5.55,機内,On board.,2,1.0,2,Kanji
8277,5.55,試行錯誤,Diskresi Tribunal,4,1.0,2,Kanji
8278,5.55,刑法,Hukum Pidana,2,1.0,2,Kanji
8279,5.55,小物,Yang kecil.,2,1.0,2,Kanji
8280,5.55,ばん,Guar,2,0.0,1,Non-Kanji
8281,5.54,楽観,Optimisme,2,1.0,2,Kanji
8282,5.54,ヒルズ,Hills.,3,0.0,1,Non-Kanji
8283,5.54,死後,Setelah Kematian,2,1.0,2,Kanji
8284,5.54,人体,Tubuh Manusia,2,1.0,2,Kanji
8285,5.54,試算,Upaya,2,1.0,2,Kanji
8286,5.54,衆院,Dewan.,2,1.0,2,Kanji
8287,5.54,満喫,Selamat makan.,2,1.0,2,Kanji
8288,5.54,ガキ,"Hei, Nak.",2,0.0,1,Non-Kanji
8289,5.54,秘訣,Rahasia,2,1.0,2,Kanji
8290,5.54,パキスタン,Pakistan,5,0.0,1,Non-Kanji
8291,5.54,酸化,Pekerjaan,2,1.0,2,Kanji
8292,5.53,お寺,Temple.,2,0.5,2,Kanji
8293,5.53,庵,Maafkan aku.,1,1.0,2,Kanji
8294,5.53,救い,Keselamatan,2,0.5,2,Kanji
8295,5.53,苗,Natto.,1,1.0,2,Kanji
8296,5.53,合わせ,Cocok,3,0.3333333333333333,1,Kanji
8297,5.53,前年度,Tahun Sebelumnya,3,1.0,2,Kanji
8298,5.53,溝,Jerat,1,1.0,2,Kanji
8299,5.53,ギャンブル,Judi,5,0.0,1,Non-Kanji
8300,5.53,金曜,Jumat.,2,1.0,2,Kanji
8301,5.52,小倉,Sakura.,2,1.0,2,Kanji
8302,5.52,高裁,Pengadilan Tinggi,2,1.0,2,Kanji
8303,5.52,屋上,Atap,2,1.0,2,Kanji
8304,5.52,お断り,Tidak.,3,0.3333333333333333,1,Kanji
8305,5.52,実物,Ini nyata.,2,1.0,2,Kanji
8306,5.52,集積,Terpadu,2,1.0,2,Kanji
8307,5.52,態勢,Bersiap.,2,1.0,2,Kanji
8308,5.52,超過,Timpa,2,1.0,2,Kanji
8309,5.52,タブ,Tab,2,0.0,1,Non-Kanji
8310,5.52,おくれる,Aku akan memberikannya kepada Anda.,4,0.0,1,Non-Kanji
8311,5.52,久保,Jangka panjang,2,1.0,2,Kanji
8312,5.52,頂点,Vertika,2,1.0,2,Kanji
8313,5.52,白書,Putih,2,1.0,2,Kanji
8314,5.52,前面,Depan,2,1.0,2,Kanji
8315,5.52,驚異,Sebuah keajaiban.,2,1.0,2,Kanji
8316,5.51,問いかける,Aku akan mengajukan pertanyaan.,5,0.2,1,Kanji
8317,5.51,絶えず,Sepanjang waktu.,3,0.3333333333333333,1,Kanji
8318,5.51,政令,Proklamasi,2,1.0,2,Kanji
8319,5.51,シェフ,Masak.,3,0.0,1,Non-Kanji
8320,5.51,外科,Operasi,2,1.0,2,Kanji
8321,5.51,未熟,Terlalu dini,2,1.0,2,Kanji
8322,5.51,文芸,Fisika,2,1.0,2,Kanji
8323,5.5,本店,Toko utama.,2,1.0,2,Kanji
8324,5.5,新品,Ini baru.,2,1.0,2,Kanji
8325,5.5,読み方,Membaca,3,0.6666666666666666,2,Kanji
8326,5.5,ランダム,Acak,4,0.0,1,Non-Kanji
8327,5.5,陽気,Aku sangat bahagia.,2,1.0,2,Kanji
8328,5.5,ヨガ,yoga.,2,0.0,1,Non-Kanji
8329,5.5,皆さま,Ladies and gentlemen.,3,0.3333333333333333,1,Kanji
8330,5.5,浮上,Naik,2,1.0,2,Kanji
8331,5.5,互い,Satu Sama Lain,2,0.5,2,Kanji
8332,5.5,利便,Luar biasa.,2,1.0,2,Kanji
8333,5.5,換算,Transformasi,2,1.0,2,Kanji
8334,5.5,平安,Damai.,2,1.0,2,Kanji
8335,5.5,おじいちゃん,Kakek.,6,0.0,1,Non-Kanji
8336,5.5,常任,Awal,2,1.0,2,Kanji
8337,5.49,遡る,Mundur,2,0.5,2,Kanji
8338,5.49,につれ,Tidak apa-apa.,3,0.0,1,Non-Kanji
8339,5.49,死ねる,Kau bisa mati.,3,0.3333333333333333,1,Kanji
8340,5.49,魔術,Sihir.,2,1.0,2,Kanji
8341,5.49,補佐,Aku asistenmu.,2,1.0,2,Kanji
8342,5.49,カウンセラー,Penasehat.,6,0.0,1,Non-Kanji
8343,5.49,動き出す,Kita bergerak.,4,0.5,1,Kanji
8344,5.49,ズボン,Celanamu.,3,0.0,1,Non-Kanji
8345,5.49,排水,Kadaluarsa,2,1.0,2,Kanji
8346,5.49,サクラ,Sakura,3,0.0,1,Non-Kanji
8347,5.48,多額,Uang yang banyak.,2,1.0,2,Kanji
8348,5.48,湾,Teluk,1,1.0,2,Kanji
8349,5.48,続々,Teruskan.,2,0.5,2,Kanji
8350,5.48,復元,Kembalikan,2,1.0,2,Kanji
8351,5.48,悪影響,Efek buruk.,3,1.0,2,Kanji
8352,5.48,ユース,Yo.,3,0.0,1,Non-Kanji
8353,5.48,機体,Aviation,2,1.0,2,Kanji
8354,5.48,市立,Kota,2,1.0,2,Kanji
8355,5.48,キレ,Indah sekali.,2,0.0,1,Non-Kanji
8356,5.47,直径,Radius,2,1.0,2,Kanji
8357,5.47,マスメディア,Media,6,0.0,1,Non-Kanji
8358,5.47,待遇,Bagaimana perasaanmu tentang itu?,2,1.0,2,Kanji
8359,5.47,ラス,Ras.,2,0.0,1,Non-Kanji
8360,5.47,喫茶,Aku sedang minum teh.,2,1.0,2,Kanji
8361,5.47,直線,Baris,2,1.0,2,Kanji
8362,5.47,於く,Maafkan aku.,2,0.5,2,Kanji
8363,5.47,栄光,Kemuliaan,2,1.0,2,Kanji
8364,5.47,公募,Aplikasi publik.,2,1.0,2,Kanji
8365,5.46,何でも,Apapun.,3,0.3333333333333333,1,Kanji
8366,5.46,音楽家,Seorang musisi.,3,1.0,2,Kanji
8367,5.46,何気ない,Aku tidak peduli.,4,0.5,1,Kanji
8368,5.46,泥,Lumpur.,1,1.0,2,Kanji
8369,5.46,さよう,Ini dia.,3,0.0,1,Non-Kanji
8370,5.46,シャッター,Jendelanya.,5,0.0,1,Non-Kanji
8371,5.46,ヨルダン,Yordan,4,0.0,1,Non-Kanji
8372,5.46,内装,Batin,2,1.0,2,Kanji
8373,5.46,パブ,pub.,2,0.0,1,Non-Kanji
8374,5.46,第一歩,Langkah pertama.,3,1.0,2,Kanji
8375,5.46,団塊,Kondensasi,2,1.0,2,Kanji
8376,5.46,付す,Maafkan aku.,2,0.5,2,Kanji
8377,5.46,補強,Menguatkan,2,1.0,2,Kanji
8378,5.46,おいおい,"Whoa, whoa, whoa, whoa.",4,0.0,1,Non-Kanji
8379,5.46,常連,Orang biasa.,2,1.0,2,Kanji
8380,5.46,名物,Ini adalah satu yang baik.,2,1.0,2,Kanji
8381,5.46,平野,Dataran,2,1.0,2,Kanji
8382,5.46,多彩,Warna,2,1.0,2,Kanji
8383,5.45,売,Jual.,1,1.0,2,Kanji
8384,5.45,家畜,Sayuran,2,1.0,2,Kanji
8385,5.45,人びと,Orang,3,0.3333333333333333,1,Kanji
8386,5.45,罠,Perangkapnya,1,1.0,2,Kanji
8387,5.45,お部屋,Kamar.,3,0.6666666666666666,2,Kanji
8388,5.45,同氏,Dia pacarku.,2,1.0,2,Kanji
8389,5.45,残,Tersisa,1,1.0,2,Kanji
8390,5.45,高木,Takagi,2,1.0,2,Kanji
8391,5.45,沿岸,Pesisir,2,1.0,2,Kanji
8392,5.45,いじめる,Penindasan.,4,0.0,1,Non-Kanji
8393,5.45,＄,$,1,0.0,0,Non-Kanji
8394,5.45,壮大,Bagus.,2,1.0,2,Kanji
8395,5.45,ふた,Berlindung.,2,0.0,1,Non-Kanji
8396,5.45,フリーター,Freeter,5,0.0,1,Non-Kanji
8397,5.45,ポジティブ,Positif,5,0.0,1,Non-Kanji
8398,5.45,過度,Timpa,2,1.0,2,Kanji
8399,5.44,コラボレーション,Kolaborasi,8,0.0,1,Non-Kanji
8400,5.44,続編,Lanjutkan.,2,1.0,2,Kanji
8401,5.44,ちと,Uh...,2,0.0,1,Non-Kanji
8402,5.44,代目,Gerhana,2,1.0,2,Kanji
8403,5.44,団結,Penjajahan,2,1.0,2,Kanji
8404,5.44,人柄,Orang.,2,1.0,2,Kanji
8405,5.44,情報処理,Proses Informasi,4,1.0,2,Kanji
8406,5.44,西日本,Jepang Barat,3,1.0,2,Kanji
8407,5.43,熱狂,Fantasi,2,1.0,2,Kanji
8408,5.43,立て,Bangun.,2,0.5,2,Kanji
8409,5.43,舎,Gedungnya.,1,1.0,2,Kanji
8410,5.43,ウクライナ,Ukraina,5,0.0,1,Non-Kanji
8411,5.43,当る,Ya.,2,0.5,2,Kanji
8412,5.43,祖国,Negara,2,1.0,2,Kanji
8413,5.43,委ねる,Mendelegasikan,3,0.3333333333333333,1,Kanji
8414,5.43,キリ,Kili !,2,0.0,1,Non-Kanji
8415,5.43,志望,Apa yang kau inginkan?,2,1.0,2,Kanji
8416,5.43,カール,Carl.,3,0.0,1,Non-Kanji
8417,5.43,清潔,Kebersihan,2,1.0,2,Kanji
8418,5.43,期日,Waktu,2,1.0,2,Kanji
8419,5.42,良質,Kualitas,2,1.0,2,Kanji
8420,5.42,貝,Shells,1,1.0,2,Kanji
8421,5.42,当店,Kami di sini.,2,1.0,2,Kanji
8422,5.42,本棚,Huruf besar,2,1.0,2,Kanji
8423,5.42,機密,Rahasia,2,1.0,2,Kanji
8424,5.42,宮殿,Istana,2,1.0,2,Kanji
8425,5.42,カウント,Hitung.,4,0.0,1,Non-Kanji
8426,5.41,復讐,Balas dendam.,2,1.0,2,Kanji
8427,5.41,心境,Pikiranmu.,2,1.0,2,Kanji
8428,5.41,密か,Ini rahasia.,2,0.5,2,Kanji
8429,5.41,ひとこと,Hanya satu hal.,4,0.0,1,Non-Kanji
8430,5.41,着用,Mengenakan,2,1.0,2,Kanji
8431,5.41,カーブ,Segi empat,3,0.0,1,Non-Kanji
8432,5.4,おいら,Hei.,3,0.0,1,Non-Kanji
8433,5.4,号線,Baris,2,1.0,2,Kanji
8434,5.4,聞き取る,Aku akan mendengarkan.,4,0.5,1,Kanji
8435,5.4,下着,Pakaian dalam,2,1.0,2,Kanji
8436,5.4,建前,Sebelum Membangun,2,1.0,2,Kanji
8437,5.4,マルクス,Markus.,4,0.0,1,Non-Kanji
8438,5.4,好感,Aku menyukainya.,2,1.0,2,Kanji
8439,5.39,ため息,Mendesah.,3,0.3333333333333333,1,Kanji
8440,5.39,稿,Post,1,1.0,2,Kanji
8441,5.39,精密,Presisi,2,1.0,2,Kanji
8442,5.39,配列,Perataan,2,1.0,2,Kanji
8443,5.39,食卓,Tabel,2,1.0,2,Kanji
8444,5.39,わくわく,Aku senang.,4,0.0,1,Non-Kanji
8445,5.39,今晩,Malam ini.,2,1.0,2,Kanji
8446,5.39,三菱,Miyako,2,1.0,2,Kanji
8447,5.39,着目,Perhatikan.,2,1.0,2,Kanji
8448,5.39,夢見る,Mimpi.,3,0.6666666666666666,2,Kanji
8449,5.39,語彙,Kosakata,2,1.0,2,Kanji
8450,5.39,共同通信,Berkomunikasi,4,1.0,2,Kanji
8451,5.39,スー,Sue.,2,0.0,1,Non-Kanji
8452,5.38,クリニック,Klinik,5,0.0,1,Non-Kanji
8453,5.38,豪,Itulah yang saya bicarakan.,1,1.0,2,Kanji
8454,5.38,まれ,Ini jarang terjadi.,2,0.0,1,Non-Kanji
8455,5.38,餃子,Sadako.,2,1.0,2,Kanji
8456,5.38,ガーデン,Taman.,4,0.0,1,Non-Kanji
8457,5.37,ガイドブック,Buku panduan,6,0.0,1,Non-Kanji
8458,5.37,康,Aku akan mengurusnya.,1,1.0,2,Kanji
8459,5.37,方言,PASIFIKASI,2,1.0,2,Kanji
8460,5.37,随時,Selalu.,2,1.0,2,Kanji
8461,5.37,ニッポン,Nipone.,4,0.0,1,Non-Kanji
8462,5.37,ステレオ,Stereo,4,0.0,1,Non-Kanji
8463,5.37,重力,Gravitasi,2,1.0,2,Kanji
8464,5.37,漠然と,Samar-samar.,3,0.6666666666666666,2,Kanji
8465,5.37,皆無,Tidak ada.,2,1.0,2,Kanji
8466,5.37,プロフェッショナル,Prostitusional,9,0.0,1,Non-Kanji
8467,5.37,承諾,Aku setuju.,2,1.0,2,Kanji
8468,5.37,店主,Pemiliknya.,2,1.0,2,Kanji
8469,5.36,最善,Terbaik,2,1.0,2,Kanji
8470,5.36,真摯,Aku serius.,2,1.0,2,Kanji
8471,5.36,戸田,Nn. Ota.,2,1.0,2,Kanji
8472,5.36,グレー,Abu-abu,3,0.0,1,Non-Kanji
8473,5.36,フィット,Pas,4,0.0,1,Non-Kanji
8474,5.36,脅迫,Ancaman.,2,1.0,2,Kanji
8475,5.36,双子,Kembar.,2,1.0,2,Kanji
8476,5.35,脱線,Delinement,2,1.0,2,Kanji
8477,5.35,量的,Pembesar,2,1.0,2,Kanji
8478,5.35,緑色,Hijau.,2,1.0,2,Kanji
8479,5.35,過言,Menyerap,2,1.0,2,Kanji
8480,5.35,彰,Sebuah pujian.,1,1.0,2,Kanji
8481,5.35,会費,Biaya keanggotaan.,2,1.0,2,Kanji
8482,5.35,物語る,Begini saja.,3,0.6666666666666666,2,Kanji
8483,5.35,見渡す,Saksi mata,3,0.6666666666666666,2,Kanji
8484,5.34,前作,Sebelumnya,2,1.0,2,Kanji
8485,5.34,提訴,Ini adalah gugatan.,2,1.0,2,Kanji
8486,5.34,麻生,Paramedis.,2,1.0,2,Kanji
8487,5.34,方程式,Equation,3,1.0,2,Kanji
8488,5.34,フォーク,Garpu.,4,0.0,1,Non-Kanji
8489,5.34,ことに,Aku tidak tahu.,3,0.0,1,Non-Kanji
8490,5.34,反響,Echo,2,1.0,2,Kanji
8491,5.34,近辺,Dekat,2,1.0,2,Kanji
8492,5.34,ァ,Ya.,1,0.0,1,Non-Kanji
8493,5.34,ビニール,Plastik,4,0.0,1,Non-Kanji
8494,5.34,両面,Duplex,2,1.0,2,Kanji
8495,5.34,亮,Maafkan aku.,1,1.0,2,Kanji
8496,5.34,過ごせる,Kau akan baik-baik saja.,4,0.25,1,Kanji
8497,5.34,密着,Close-up.,2,1.0,2,Kanji
8498,5.33,摩擦,Frustrasi,2,1.0,2,Kanji
8499,5.33,糖尿,Diabetes.,2,1.0,2,Kanji
8500,5.33,ｋｍ,km,2,0.0,1,Non-Kanji
8501,5.33,蛇,Ular,1,1.0,2,Kanji
8502,5.33,バッハ,Bach.,3,0.0,1,Non-Kanji
8503,5.33,死去,Mati.,2,1.0,2,Kanji
8504,5.33,遠藤,Toto.,2,1.0,2,Kanji
8505,5.33,甲斐,Itu sepadan.,2,1.0,2,Kanji
8506,5.33,達人,Guru.,2,1.0,2,Kanji
8507,5.33,レーザー,Laser,4,0.0,1,Non-Kanji
8508,5.33,表れる,Akan kutunjukkan padamu.,3,0.3333333333333333,1,Kanji
8509,5.33,誘惑,Rayuan,2,1.0,2,Kanji
8510,5.33,進捗,Kemajuan,2,1.0,2,Kanji
8511,5.33,脅かす,Kau membuatku takut.,3,0.3333333333333333,1,Kanji
8512,5.33,つぎ,Berikutnya.,2,0.0,1,Non-Kanji
8513,5.33,終,Akhir,1,1.0,2,Kanji
8514,5.32,玄,Guru.,1,1.0,2,Kanji
8515,5.32,懸賞,Ini hadiah.,2,1.0,2,Kanji
8516,5.32,ナショナル,Nasional,5,0.0,1,Non-Kanji
8517,5.32,田村,Tamura,2,1.0,2,Kanji
8518,5.32,オート,Otomatis,3,0.0,1,Non-Kanji
8519,5.32,切り離す,Potong,4,0.5,1,Kanji
8520,5.32,ハナ,Hana.,2,0.0,1,Non-Kanji
8521,5.32,凍結,Beku,2,1.0,2,Kanji
8522,5.32,模倣,Salin,2,1.0,2,Kanji
8523,5.32,おっさん,"Whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa, whoa.",4,0.0,1,Non-Kanji
8524,5.32,各々,Masing-masing,2,0.5,2,Kanji
8525,5.32,鳴く,Suara,2,0.5,2,Kanji
8526,5.32,学べる,Kita bisa belajar.,3,0.3333333333333333,1,Kanji
8527,5.31,たす,- Maafkan aku.,2,0.0,1,Non-Kanji
8528,5.31,延々と,Sudah lama sekali.,3,0.3333333333333333,1,Kanji
8529,5.31,消極,Negatif,2,1.0,2,Kanji
8530,5.31,駆けつける,Dia dalam perjalanan.,5,0.2,1,Kanji
8531,5.31,国外,Di luar negeri,2,1.0,2,Kanji
8532,5.31,談合,Bicaralah satu sama lain.,2,1.0,2,Kanji
8533,5.31,客席,Ladies and gentlemen.,2,1.0,2,Kanji
8534,5.31,女神,Sang Dewi.,2,1.0,2,Kanji
8535,5.31,に関し,Tentang.,3,0.3333333333333333,1,Kanji
8536,5.31,冷戦,Perang Dingin,2,1.0,2,Kanji
8537,5.31,キャプテン,Kapten.,5,0.0,1,Non-Kanji
8538,5.31,引き取る,Aku akan mengambilnya.,4,0.5,1,Kanji
8539,5.31,電流,Listrik,2,1.0,2,Kanji
8540,5.3,ぜひとも,Dengan segala cara.,4,0.0,1,Non-Kanji
8541,5.3,見地,Dari Sudut Pandangan,2,1.0,2,Kanji
8542,5.3,衰退,Memudar,2,1.0,2,Kanji
8543,5.3,心情,Hati,2,1.0,2,Kanji
8544,5.3,新潮,Pasang baru,2,1.0,2,Kanji
8545,5.3,重み,Berat,2,0.5,2,Kanji
8546,5.3,かって,Ini dia.,3,0.0,1,Non-Kanji
8547,5.3,つねに,Mari kita pergi.,3,0.0,1,Non-Kanji
8548,5.3,セカンド,Kedua,4,0.0,1,Non-Kanji
8549,5.29,深まる,Lebih kencang.,3,0.3333333333333333,1,Kanji
8550,5.29,労力,Kerja keras.,2,1.0,2,Kanji
8551,5.29,浮かべる,Aku sedang di atasnya.,4,0.25,1,Kanji
8552,5.29,見当たる,Akan kulihat apa yang bisa kutemukan.,4,0.5,1,Kanji
8553,5.29,松下,Matsushita.,2,1.0,2,Kanji
8554,5.29,国歌,lagu kebangsaan,2,1.0,2,Kanji
8555,5.29,格段,Sequential,2,1.0,2,Kanji
8556,5.29,栗,Aku akan mengurusnya.,1,1.0,2,Kanji
8557,5.29,定例,Awal,2,1.0,2,Kanji
8558,5.29,伊,Maafkan aku.,1,1.0,2,Kanji
8559,5.29,コンポーネント,Komponen,7,0.0,1,Non-Kanji
8560,5.29,競う,Ayo balapan.,2,0.5,2,Kanji
8561,5.29,ウラ,URU,2,0.0,1,Non-Kanji
8562,5.29,陪審,Juri.,2,1.0,2,Kanji
8563,5.29,懲役,Aku di penjara.,2,1.0,2,Kanji
8564,5.28,ダイレクト,Langsung,5,0.0,1,Non-Kanji
8565,5.28,最良,Terbaik,2,1.0,2,Kanji
8566,5.28,味わい,Cicipi,3,0.3333333333333333,1,Kanji
8567,5.28,買,Beli.,1,1.0,2,Kanji
8568,5.28,ラッシュ,Rash,4,0.0,1,Non-Kanji
8569,5.28,ちがい,Tidak.,3,0.0,1,Non-Kanji
8570,5.28,ボトル,Botol.,3,0.0,1,Non-Kanji
8571,5.28,マリ,Mari.,2,0.0,1,Non-Kanji
8572,5.28,群れ,Kawanan.,2,0.5,2,Kanji
8573,5.28,育,Tumbuh dewasa.,1,1.0,2,Kanji
8574,5.28,日数,Jumlah Hari,2,1.0,2,Kanji
8575,5.28,来店,"Ayo, ayo, ayo, ayo, ayo, ayo, ayo, ayo.",2,1.0,2,Kanji
8576,5.28,現物,Ini nyata.,2,1.0,2,Kanji
8577,5.28,慶,Aku akan mengurusnya.,1,1.0,2,Kanji
8578,5.27,堅い,Keras.,2,0.5,2,Kanji
8579,5.27,末期,Endless End,2,1.0,2,Kanji
8580,5.27,うつ病,Depresi,3,0.3333333333333333,1,Kanji
8581,5.27,大げさ,Kewalahan,3,0.3333333333333333,1,Kanji
8582,5.27,水産,It's aquamarine.,2,1.0,2,Kanji
8583,5.27,手助け,Bantuan,3,0.6666666666666666,2,Kanji
8584,5.27,乱,Turbulensi,1,1.0,2,Kanji
8585,5.26,遅刻,Aku terlambat.,2,1.0,2,Kanji
8586,5.26,家屋,Rumah,2,1.0,2,Kanji
8587,5.26,カート,Kurt.,3,0.0,1,Non-Kanji
8588,5.26,直る,Aku akan memperbaikinya.,2,0.5,2,Kanji
8589,5.26,次長,Wakil Manajer.,2,1.0,2,Kanji
8590,5.26,非公開,Privat,3,1.0,2,Kanji
8591,5.26,表彰,Sebuah pujian.,2,1.0,2,Kanji
8592,5.26,公安,Keselamatan Publik,2,1.0,2,Kanji
8593,5.26,やむを得ない,Tidak ada pilihan.,6,0.16666666666666666,1,Kanji
8594,5.26,式典,Perayaannya.,2,1.0,2,Kanji
8595,5.26,くさい,Bau sekali.,3,0.0,1,Non-Kanji
8596,5.26,一角,"Ayo, ayo, ayo, ayo, ayo, ayo, ayo, ayo, ayo.",2,1.0,2,Kanji
8597,5.26,歯医者,Kau dokter gigi.,3,1.0,2,Kanji
8598,5.26,解約,Melepaskan diri,2,1.0,2,Kanji
8599,5.26,簑,Ini hanya masalah waktu.,1,1.0,2,Kanji
8600,5.26,長距離,Jarak jauh,3,1.0,2,Kanji
8601,5.26,反復,Kekambuhan,2,1.0,2,Kanji
8602,5.26,本年度,Berapa umurnya?,3,1.0,2,Kanji
8603,5.26,取扱,Aku akan mengurusnya.,2,1.0,2,Kanji
8604,5.26,ダーク,Gelap.,3,0.0,1,Non-Kanji
8605,5.25,絶賛,Aku sangat bangga padamu.,2,1.0,2,Kanji
8606,5.25,無罪,Tidak bersalah.,2,1.0,2,Kanji
8607,5.25,持ち上げる,Aku akan mengangkatnya.,5,0.4,1,Kanji
8608,5.25,ディレクトリ,Direktori,6,0.0,1,Non-Kanji
8609,5.25,有罪,Bersalah.,2,1.0,2,Kanji
8610,5.25,国益,Minat Nasional,2,1.0,2,Kanji
8611,5.25,悩ます,Itu menggangguku.,3,0.3333333333333333,1,Kanji
8612,5.25,目前,Tepat di depanku.,2,1.0,2,Kanji
8613,5.25,くだらない,Itu omong kosong.,5,0.0,1,Non-Kanji
8614,5.25,投与,Aku akan memberimu kesempatan.,2,1.0,2,Kanji
8615,5.25,甲子園,Taman Seiko.,3,1.0,2,Kanji
8616,5.25,塊,Misa,1,1.0,2,Kanji
8617,5.24,伝承,Tradisi,2,1.0,2,Kanji
8618,5.24,所在,Lokasi,2,1.0,2,Kanji
8619,5.24,乗り換える,Aku akan berubah.,5,0.4,1,Kanji
8620,5.24,栃木,Aku akan mengurusnya.,2,1.0,2,Kanji
8621,5.24,懇親,Orang tua yang baik.,2,1.0,2,Kanji
8622,5.24,淳,Maafkan aku.,1,1.0,2,Kanji
8623,5.24,われ,Aku.,2,0.0,1,Non-Kanji
8624,5.24,架空,Itu mitos.,2,1.0,2,Kanji
8625,5.24,津,Tzu.,1,1.0,2,Kanji
8626,5.24,乗り出す,Aku akan mengeluarkanmu dari sini.,4,0.5,1,Kanji
8627,5.24,コーン,Jagung.,3,0.0,1,Non-Kanji
8628,5.24,きん,Tidak.,2,0.0,1,Non-Kanji
8629,5.24,上空,Ganti.,2,1.0,2,Kanji
8630,5.24,美女,Dia cantik.,2,1.0,2,Kanji
8631,5.24,絶妙,Sempurna.,2,1.0,2,Kanji
8632,5.24,楽章,The Falk.,2,1.0,2,Kanji
8633,5.24,陳述,Sebuah pernyataan.,2,1.0,2,Kanji
8634,5.24,ポピュラー,Populer.,5,0.0,1,Non-Kanji
8635,5.23,スマート,Pintar,4,0.0,1,Non-Kanji
8636,5.23,暖房,Pemanas,2,1.0,2,Kanji
8637,5.23,叶う,Ini akan menjadi.,2,0.5,2,Kanji
8638,5.23,細部,Rincian,2,1.0,2,Kanji
8639,5.23,菓子,Manis,2,1.0,2,Kanji
8640,5.23,生息,Warga,2,1.0,2,Kanji
8641,5.23,ともなう,Aku bersamamu.,4,0.0,1,Non-Kanji
8642,5.22,虚偽,Salah,2,1.0,2,Kanji
8643,5.22,ふやす,Mm-hmm.,3,0.0,1,Non-Kanji
8644,5.22,継ぐ,Aku akan mengurusnya.,2,0.5,2,Kanji
8645,5.22,教職員,Guru.,3,1.0,2,Kanji
8646,5.22,ややこしい,Ini rumit.,5,0.0,1,Non-Kanji
8647,5.22,情,Emosi,1,1.0,2,Kanji
8648,5.22,一歩,Satu langkah.,2,1.0,2,Kanji
8649,5.22,フィル,Phil.,3,0.0,1,Non-Kanji
8650,5.22,反動,Dibangkitkan,2,1.0,2,Kanji
8651,5.22,地道,Gerhana,2,1.0,2,Kanji
8652,5.22,巧み,Terampil.,2,0.5,2,Kanji
8653,5.22,笛,Peluit.,1,1.0,2,Kanji
8654,5.22,神田,Kanda.,2,1.0,2,Kanji
8655,5.22,孝,Takashi.,1,1.0,2,Kanji
8656,5.22,不調,Cacat,2,1.0,2,Kanji
8657,5.22,算出,Kalkulator,2,1.0,2,Kanji
8658,5.21,撤去,Melepaskan diri,2,1.0,2,Kanji
8659,5.21,スローガン,Kosakata,5,0.0,1,Non-Kanji
8660,5.21,法定,Legal.,2,1.0,2,Kanji
8661,5.21,何やら,Ada apa?,3,0.3333333333333333,1,Kanji
8662,5.21,ガード,Penjaga.,3,0.0,1,Non-Kanji
8663,5.2,になう,"Oh, Tuhan.",3,0.0,1,Non-Kanji
8664,5.2,オオカミ,Serigala.,4,0.0,1,Non-Kanji
8665,5.2,埋まる,Terkubur.,3,0.3333333333333333,1,Kanji
8666,5.2,ジュニア,Junior.,4,0.0,1,Non-Kanji
8667,5.2,一時期,Sekali waktu.,3,1.0,2,Kanji
8668,5.2,栄,Jelek.,1,1.0,2,Kanji
8669,5.2,出向く,Aku segera ke sana.,3,0.6666666666666666,2,Kanji
8670,5.2,事案,Ini masalah.,2,1.0,2,Kanji
8671,5.2,租税,Pajak.,2,1.0,2,Kanji
8672,5.2,タイル,Ubin,3,0.0,1,Non-Kanji
8673,5.19,且つ,Dan...,2,0.5,2,Kanji
8674,5.19,極める,Itu bagus.,3,0.3333333333333333,1,Kanji
8675,5.19,いつのまにか,Aku tidak tahu.,6,0.0,1,Non-Kanji
8676,5.19,命名,Nama,2,1.0,2,Kanji
8677,5.19,高層,Tinggi,2,1.0,2,Kanji
8678,5.18,稼動,Berhasil.,2,1.0,2,Kanji
8679,5.18,無縁,Aku tidak tahu.,2,1.0,2,Kanji
8680,5.18,躊躇,Tahan.,2,1.0,2,Kanji
8681,5.18,数少ない,Sedikit.,4,0.5,1,Kanji
8682,5.18,浄化,Bersihkan,2,1.0,2,Kanji
8683,5.18,はやい,"Ya, Pak.",3,0.0,1,Non-Kanji
8684,5.18,呟く,Maafkan aku.,2,0.5,2,Kanji
8685,5.18,アルミ,Aluminium,3,0.0,1,Non-Kanji
8686,5.18,いか,Ini dia.,2,0.0,1,Non-Kanji
8687,5.18,十字架,Salib,3,1.0,2,Kanji
8688,5.18,速やか,Cepat.,3,0.3333333333333333,1,Kanji
8689,5.18,則,Bilas,1,1.0,2,Kanji
8690,5.18,傍聴,Dengar.,2,1.0,2,Kanji
8691,5.18,房,Spiral,1,1.0,2,Kanji
8692,5.17,連鎖,Rantainya.,2,1.0,2,Kanji
8693,5.17,ピース,Perdamaian,3,0.0,1,Non-Kanji
8694,5.17,バター,Mentega.,3,0.0,1,Non-Kanji
8695,5.17,屋外,Outdoor,2,1.0,2,Kanji
